character,variant,mass,center_x,center_y,second_moment,sobel_mean_magnitude,sobel_std_magnitude,aspect_ratio,vertical_intensity_variance,num_contours,hole_count,avg_euler_number,avg_contour_solidity,avg_contour_area,compactness,cc_count,avg_cc_area,cc_area_std,left_sum,right_sum,top_sum,bottom_sum,avgs,avg_1,avg_2,avg_3,avg_4,avg_5,avg_6,avg_7,avg_8
4,130,65,1.0076923076923077,1.6076923076923078,452.6616048812866,25.570362557908574,78.67752317153297,1.0,117.5309591293335,1,0,1.0,0.8829787234042553,41.5,0.6699853143519977,1,55.0,0.0,831,2204,573,594,,7.167,44.583,70.667,9.75,49.5,93.833,108.75,66.0
4,131,71,0.9366197183098591,0.09154929577464789,516.6205587387085,28.039688159193283,79.81146307351592,1.0,135.97715663909912,1,0,1.0,0.8777777777777778,39.5,0.6536776151913306,1,52.0,0.0,637,1636,239,733,,3.15,32.5,75.133,9.333,29.0,77.0,97.133,51.6
4,132,57,0.23684210526315788,1.043859649122807,484.23468685150146,25.027829374458545,80.14075960803585,1.0,117.24124813079834,1,0,1.0,0.9701492537313433,32.5,0.7672869965994044,1,44.0,0.0,564,1843,678,1084,,14.733,48.6,64.0,14.9,45.0,92.667,106.583,51.25
4,133,76,0.75,-0.4342105263157895,551.5010366439819,29.425957218298336,86.11676617701617,1.0,153.3369436264038,1,0,1.0,0.95,47.5,0.7232610082606272,1,61.0,0.0,638,2573,810,658,,11.7,43.933,69.6,12.267,85.812,84.583,107.75,56.083
4,134,71,0.9366197183098591,0.09154929577464789,544.7120208740234,28.845221494314337,82.12285999917408,1.0,143.31431579589844,1,0,1.0,0.8444444444444444,38.0,0.6029473139190672,1,51.0,0.0,656,1670,243,750,,3.15,32.85,77.667,9.6,29.7,78.7,100.133,52.467
4,135,77,0.7987012987012987,-0.4090909090909091,561.8360357284546,29.507409881264838,84.91089233484145,1.0,158.51019954681396,1,0,1.0,0.95,47.5,0.7232610082606272,1,61.0,0.0,642,2601,811,684,,12.7,44.0,69.333,13.4,86.188,87.083,110.333,57.833
4,136,68,0.9705882352941176,1.5441176470588236,599.8005638122559,29.451654054673426,88.21853676917247,1.0,136.8588523864746,1,0,1.0,0.8375,33.5,0.6445506597818651,1,45.0,0.0,587,1731,608,800,,3.8,25.667,85.6,11.667,43.0,79.4,121.267,53.0
4,137,74,0.8783783783783784,0.10810810810810811,475.16864681243896,26.33093600240346,72.44250260887827,1.0,128.04129695892334,1,0,1.0,0.925531914893617,43.5,0.7198728167296932,1,56.0,0.0,628,1617,252,729,,3.9,33.65,72.2,10.8,28.3,75.65,94.0,50.467
4,138,68,0.9705882352941176,1.5441176470588236,573.6100835800171,28.408446132712736,82.64184794687712,1.0,133.86218929290771,1,0,1.0,0.8604651162790697,37.0,0.6391923682356635,1,49.0,0.0,590,1725,596,839,,4.667,27.533,83.0,14.133,42.067,78.933,119.2,54.0
4,139,56,0.05357142857142857,1.2321428571428572,590.7948608398438,28.982339403555127,96.73241815155423,1.0,121.197998046875,1,0,1.0,0.7123287671232876,26.0,0.4657727048219156,1,39.0,0.0,851,1583,605,1417,,10.533,43.267,105.0,18.6,42.833,69.833,115.417,46.75
