Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Eritrea,ERI,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,67.306
Eritrea,ERI,Net migration,SM.POP.NETM,-29818
Estonia,EST,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.66
Estonia,EST,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.3419636171697
Estonia,EST,Population growth (annual %),SP.POP.GROW,0.371554389037477
Estonia,EST,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.6463414634147
Estonia,EST,Net migration,SM.POP.NETM,5386
Eswatini,SWZ,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.925
Eswatini,SWZ,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.09910496037746
Eswatini,SWZ,Population growth (annual %),SP.POP.GROW,0.931970814127083
Eswatini,SWZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,59.85
Eswatini,SWZ,Net migration,SM.POP.NETM,-8439
Ethiopia,ETH,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,4.347
Ethiopia,ETH,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.48664148021712
Ethiopia,ETH,Population growth (annual %),SP.POP.GROW,2.69123978261516
Ethiopia,ETH,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.741
Ethiopia,ETH,Net migration,SM.POP.NETM,-10807
Faroe Islands,FRO,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.4341
Faroe Islands,FRO,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.92985288714129
Faroe Islands,FRO,Population growth (annual %),SP.POP.GROW,1.55078067228514
Faroe Islands,FRO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,82.4439024390244
Faroe Islands,FRO,Net migration,SM.POP.NETM,670
Fiji,FJI,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2.385
Fiji,FJI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.334080464484003
