filename,predicted_class,confidence
cell_r8_c11_blob_1_word_1_char_02.png,5,0.9145
cell_r8_c12_blob_1_word_2_char_00.png,3,1.0
cell_r8_c12_blob_1_word_2_char_01.png,4,0.9979
cell_r8_c12_blob_1_word_2_char_02.png,6,0.9136
cell_r8_c12_blob_1_word_3_char_00.png,5,0.9999
cell_r8_c12_blob_1_word_3_char_01.png,4,0.8488
cell_r8_c12_blob_1_word_4_char_00.png,2,1.0
cell_r8_c12_blob_1_word_4_char_01.png,2,0.9993
cell_r8_c14_blob_1_word_1_char_00.png,7,0.502
cell_r8_c15_blob_1_word_1_char_02.png,3,0.9965
cell_r8_c15_blob_1_word_1_char_03.png,3,0.9845
cell_r8_c15_blob_1_word_2_char_00.png,3,0.9994
cell_r8_c15_blob_1_word_2_char_04.png,5,0.9627
cell_r8_c16_blob_1_word_1_char_00.png,3,0.9991
cell_r8_c16_blob_1_word_1_char_01.png,5,0.9282
cell_r8_c16_blob_1_word_3_char_02.png,2,0.9882
cell_r8_c18_blob_1_word_1_char_00.png,7,0.9984
cell_r8_c18_blob_1_word_3_char_01.png,3,0.9788
cell_r8_c18_blob_1_word_3_char_02.png,6,0.4508
cell_r8_c18_blob_1_word_3_char_03.png,2,0.9999
cell_r8_c18_blob_1_word_3_char_04.png,0,0.9957
cell_r8_c19_blob_1_word_1_char_00.png,3,0.9842
cell_r8_c19_blob_1_word_1_char_01.png,5,0.9999
cell_r8_c19_blob_1_word_2_char_00.png,2,0.8606
cell_r8_c19_blob_1_word_2_char_01.png,2,0.4126
cell_r8_c19_blob_1_word_5_char_00.png,0,0.9813
cell_r8_c1_blob_1_word_3_char_05.png,2,1.0
cell_r8_c6_blob_1_word_1_char_01.png,6,0.9486
cell_r8_c6_blob_1_word_1_char_02.png,6,0.999
cell_r9_c1_blob_1_word_4_char_07.png,5,0.9113
